Wall time,Step,Value
1748867036.8067517,0,9.999999747378752e-05
1748867398.4443638,2500,9.999999747378752e-05
1748867858.9573824,5000,9.999999747378752e-05
1748868323.7006845,7500,9.999999747378752e-05
1748868794.983246,10000,9.999999747378752e-05
1748876512.0990505,12500,9.999999747378752e-05
1748876928.6567798,15000,9.999999747378752e-05
1748877379.2478516,17500,9.999999747378752e-05
1748877813.4690688,20000,9.999999747378752e-05
1748886381.4786024,22500,9.999999747378752e-05
1748886816.305133,25000,9.999999747378752e-05
1748887252.041634,27500,9.999999747378752e-05
1748887692.0536587,30000,9.999999747378752e-05
1748890946.2155278,32500,9.999999747378752e-05
1748894271.9872556,35000,9.999999747378752e-05
1748897670.7463949,37500,9.999999747378752e-05
1748901112.529716,40000,9.999999747378752e-05
1748904505.2027028,42500,9.999999747378752e-05
1748907938.101894,45000,9.999999747378752e-05
1748911364.1513083,47500,9.999999747378752e-05
1748914806.9549766,50000,9.999999747378752e-05
1748918248.8610394,52500,9.999999747378752e-05
1748921694.2984793,55000,9.999999747378752e-05
1748925158.228373,57500,9.999999747378752e-05
1748928612.900115,60000,9.999999747378752e-05
1748932070.2450855,62500,9.999999747378752e-05
1748935533.3362813,65000,9.999999747378752e-05
1748939018.7604012,67500,9.999999747378752e-05
1748942480.088864,70000,9.999999747378752e-05
1748945953.4957197,72500,9.999999747378752e-05
1748949440.7424123,75000,9.999999747378752e-05
1748952957.9028113,77500,9.999999747378752e-05
1748956452.8958602,80000,9.999999747378752e-05
1748959970.9106808,82500,9.999999747378752e-05
1748963443.475104,85000,9.999999747378752e-05
1748966971.496798,87500,9.999999747378752e-05
1748970457.5737824,90000,9.999999747378752e-05
1748973964.7086523,92500,9.999999747378752e-05
1748977458.6328995,95000,9.999999747378752e-05
1748980977.94408,97500,9.999999747378752e-05
1748984488.8498383,100000,9.999999747378752e-05
1748987995.6874664,102500,9.999999747378752e-05
1748991490.820789,105000,9.999999747378752e-05
1748995024.5952115,107500,9.999999747378752e-05
1748998521.3613977,110000,9.999999747378752e-05
1749002037.6508293,112500,9.999999747378752e-05
1749005567.2460034,115000,9.999999747378752e-05
1749009078.0430994,117500,9.999999747378752e-05
1749012576.514444,120000,9.999999747378752e-05
1749016103.139208,122500,9.999999747378752e-05
1749019609.5432243,125000,9.999999747378752e-05
1749023114.8307366,127500,9.999999747378752e-05
1749026593.9618592,130000,9.999999747378752e-05
1749030086.2200227,132500,9.999999747378752e-05
1749033548.628341,135000,9.999999747378752e-05
1749037077.741869,137500,9.999999747378752e-05
1749040572.1591308,140000,9.999999747378752e-05
1749044099.7160926,142500,9.999999747378752e-05
1749047627.537978,145000,9.999999747378752e-05
1749051148.0899632,147500,9.999999747378752e-05
1749054658.631403,150000,9.999999747378752e-05
1749058155.762427,152500,9.999999747378752e-05
1749061711.2191508,155000,9.999999747378752e-05
1749065210.905437,157500,9.999999747378752e-05
1749068760.4970644,160000,9.999999747378752e-05
1749072327.0268576,162500,9.999999747378752e-05
1749075881.9386535,165000,9.999999747378752e-05
1749079380.532707,167500,9.999999747378752e-05
1749082901.9089768,170000,9.999999747378752e-05
1749086457.453435,172500,9.999999747378752e-05
1749089982.0288525,175000,9.999999747378752e-05
1749093492.4711945,177500,9.999999747378752e-05
1749097075.0154233,180000,9.999999747378752e-05
1749100628.1300414,182500,9.999999747378752e-05
1749104154.8364983,185000,9.999999747378752e-05
1749107748.8464372,187500,9.999999747378752e-05
1749111299.9980946,190000,9.999999747378752e-05
1749114833.091542,192500,9.999999747378752e-05
1749118336.4938054,195000,9.999999747378752e-05
1749121900.2555563,197500,9.999999747378752e-05
1749125424.7752514,200000,9.999999747378752e-05
1749128938.062307,202500,9.999999747378752e-05
1749132430.7865853,205000,9.999999747378752e-05
1749135936.6284158,207500,9.999999747378752e-05
1749139477.666496,210000,9.999999747378752e-05
1749142997.94168,212500,9.999999747378752e-05
1749146523.5018308,215000,9.999999747378752e-05
1749150080.527105,217500,9.999999747378752e-05
1749153601.1552417,220000,9.999999747378752e-05
1749157142.7963202,222500,9.999999747378752e-05
1749160702.3159635,225000,9.999999747378752e-05
1749164253.3480356,227500,9.999999747378752e-05
1749167800.3146048,230000,9.999999747378752e-05
1749171313.7221293,232500,9.999999747378752e-05
1749174835.5017264,235000,9.999999747378752e-05
1749178369.780658,237500,9.999999747378752e-05
1749181915.4983993,240000,9.999999747378752e-05
1749185456.2171056,242500,9.999999747378752e-05
1749189309.016236,245000,9.999999747378752e-05
1749193137.7636278,247500,9.999999747378752e-05
1749196729.2306902,250000,9.999999747378752e-05
1749200285.9488883,252500,9.999999747378752e-05
1749204038.921174,255000,9.999999747378752e-05
1749207580.696865,257500,9.999999747378752e-05
1749211261.6514962,260000,9.999999747378752e-05
