Wall time,Step,Value
1748867102.0281942,300,78.35572814941406
1748867125.0384333,500,58.254478454589844
1748867163.6589217,800,58.241371154785156
1748867216.2837074,1200,64.09945678710938
1748867283.3029602,1700,67.49434661865234
1748867309.785309,1900,47.263084411621094
1748867337.25147,2100,54.14310073852539
1748867376.23152,2400,47.618858337402344
1748867540.4290884,2700,58.55919647216797
1748867568.1642027,2900,56.40434265136719
1748867687.7064385,3800,45.444026947021484
1748867712.5190454,4000,40.50944137573242
1748867725.718358,4100,43.87162780761719
1748867740.1672664,4200,42.75880432128906
1748867795.111982,4600,49.470306396484375
1748867989.5365572,5100,39.441036224365234
1748868016.0722542,5300,48.90596389770508
1748868028.9824762,5400,39.67612838745117
1748868054.582425,5600,54.37343215942383
1748868067.3480208,5700,44.75027847290039
1748868095.3076923,5900,58.13325119018555
1748868250.5328178,7000,37.0384635925293
1748868528.2355838,8100,41.9388313293457
1748868542.9504821,8200,37.508853912353516
1748868556.271278,8300,35.20000076293945
1748868610.1463537,8700,43.187984466552734
1748868653.1863406,9000,37.752925872802734
1748868666.3938484,9100,30.858291625976562
1748868719.146504,9500,43.723716735839844
1748868758.874106,9800,38.87935256958008
1748868931.3502917,10100,38.159690856933594
1748868986.6822672,10500,46.237552642822266
1748869001.6681504,10600,35.49704360961914
1748869015.237821,10700,31.010936737060547
1748869028.8270698,10800,39.12945556640625
1748869107.8615289,11400,32.63927459716797
1748869134.3694172,11600,27.50037384033203
1748876608.127617,12600,37.4202766418457
1748876644.8444114,12900,29.76072883605957
1748876683.3294878,13200,24.758113861083984
1748876697.130521,13300,25.2851505279541
1748876724.7081342,13500,24.763036727905273
1748876779.2389517,13900,21.464859008789062
1748876791.3616126,14000,21.538793563842773
1748876815.351778,14200,20.201236724853516
1748876882.2784486,14700,16.910362243652344
1748877148.9507542,15900,11.573092460632324
1748877163.4067972,16000,11.716828346252441
1748877177.7765021,16100,11.756351470947266
1748877248.3278008,16600,12.33371353149414
1748877304.9457383,17000,11.899075508117676
1748877357.0058577,17400,11.488813400268555
1748877469.555777,17500,8.344196319580078
1748877545.9144154,18100,13.71382999420166
1748877589.2832353,18400,9.519152641296387
1748877602.9910934,18500,10.450364112854004
1748877615.6230478,18600,12.392809867858887
1748877629.0422914,18700,11.962859153747559
1748877642.6951473,18800,12.217705726623535
1748877711.98363,19300,10.491270065307617
1748877724.6089554,19400,12.98800277709961
1748877904.1043792,20000,11.669415473937988
1748877916.7922683,20100,10.852255821228027
1748877969.5088413,20500,14.628682136535645
1748877997.702632,20700,15.03906536102295
1748878036.1102066,21000,9.62485122680664
1748878100.6420648,21500,10.93785572052002
