Wall time,Step,Value
1748869402.789242,250,107.23304748535156
1748869469.5389729,400,121.33804321289062
1748869671.056898,850,200.05557250976562
1748869763.6909037,1050,136.8555450439453
1748869831.5113153,1200,129.92857360839844
1748869943.2535512,1450,111.54776763916016
1748870143.6551716,1900,149.39736938476562
1748871114.1326632,2800,96.106201171875
1748871136.2923703,2850,81.39599609375
1748871180.2219725,2950,86.0440902709961
1748871428.0430732,3500,90.14793395996094
1748871679.3950706,4050,121.16691589355469
1748871702.5995233,4100,93.1984634399414
1748871725.0421832,4150,81.97203063964844
1748871819.1463015,4350,91.02812194824219
1748871889.002091,4500,104.34282684326172
1748871912.4133036,4550,85.89128875732422
1748872812.5071778,5250,67.58939361572266
1748872834.8389552,5300,71.6299057006836
1748872857.086023,5350,94.16107177734375
1748873288.8655307,6300,74.51954650878906
1748873359.5304952,6450,78.61077880859375
1748873426.9894454,6600,67.76231384277344
1748873450.5392754,6650,87.91947937011719
1748873657.3107488,7100,74.37383270263672
1748874907.4015493,8500,81.33113861083984
1748875003.5956728,8700,80.33576965332031
1748875027.3339756,8750,71.7083511352539
1748875242.0416899,9200,57.30812454223633
1748875266.0323434,9250,65.43304443359375
1748875335.5505116,9400,71.67931365966797
1748875452.8361518,9650,78.8246078491211
1748875477.159043,9700,61.30363082885742
1748878809.4529696,10000,53.191749572753906
1748879167.6425843,10750,51.16918182373047
1748879265.0865924,10950,51.07227325439453
1748879289.3273766,11000,65.15434265136719
1748879361.5421138,11150,57.80881881713867
1748879385.2739353,11200,53.48122024536133
1748879502.7227454,11450,79.58078002929688
1748879646.294979,11750,46.83082962036133
1748879669.3774853,11800,63.06813049316406
1748879692.2644901,11850,56.795188903808594
1748879810.7473335,12100,59.432899475097656
1748879884.762497,12250,49.10228729248047
1748879932.7728379,12350,45.16429138183594
1748880932.3500938,13200,43.07503890991211
1748881189.1584625,13750,39.957420349121094
1748881308.4330134,14000,62.68177032470703
1748881601.41909,14600,34.79762649536133
1748881723.807678,14850,43.93670654296875
1748881773.1824355,14950,50.477840423583984
1748882389.5460851,15000,51.38477325439453
1748882439.1976652,15100,54.243751525878906
1748882687.284112,15600,51.25819778442383
1748882735.2254276,15700,54.477882385253906
1748883069.2834601,16400,53.08985137939453
1748883142.8545506,16550,48.20024871826172
1748883213.3598652,16700,56.56230545043945
1748883236.3964214,16750,41.66740036010742
1748883354.2166085,17000,43.12755584716797
1748883377.6509507,17050,38.590065002441406
1748883471.3241482,17250,45.73826217651367
1748883519.0536497,17350,41.13698196411133
1748883543.751633,17400,50.38996505737305
1748884369.456461,17850,46.981998443603516
1748884439.497185,18000,43.14750289916992
1748884579.617203,18300,49.72125244140625
1748884603.3496768,18350,38.4714469909668
1748884627.4042282,18400,44.44192886352539
1748884650.3218553,18450,57.7830924987793
1748884696.3269005,18550,41.5585823059082
1748884794.001722,18750,35.95011901855469
1748884891.4640586,18950,64.28009033203125
1748884915.7430964,19000,51.708560943603516
1748884987.7110426,19150,58.193145751953125
1748885012.307037,19200,63.86886215209961
1748885036.722661,19250,47.86687088012695
1748885326.885204,19850,46.271907806396484
1748888772.461856,20050,27.631174087524414
1748888797.117353,20100,57.02544021606445
1748888970.083294,20450,51.595428466796875
1748889017.6854067,20550,47.45699691772461
1748889352.4275331,21250,41.95598220825195
1748889499.1477845,21550,36.64255142211914
1748889573.4593546,21700,58.26198196411133
1748889673.9034216,21900,56.07550048828125
1748889798.8104322,22150,61.86555480957031
1748889873.083569,22300,43.89299774169922
1748892146.374386,22750,54.97575378417969
1748892978.6514688,24400,55.53074645996094
1748893107.7673783,24650,52.888309478759766
1748895523.6957626,25300,48.4688720703125
1748895677.353603,25600,40.90899658203125
1748895702.7875087,25650,32.74618911743164
1748895727.836479,25700,50.59678268432617
1748895800.631055,25850,39.22968673706055
1748895955.0149567,26150,51.333961486816406
1748895981.0826058,26200,38.72354507446289
1748896166.112176,26550,36.33049392700195
1748896295.2683198,26800,39.882381439208984
1748896373.1116035,26950,64.0241470336914
1748898765.718147,27500,60.843162536621094
1748898792.611837,27550,55.789310455322266
1748898819.2339137,27600,61.357479095458984
1748898845.4060779,27650,49.65467071533203
1748899109.043281,28150,75.16622161865234
1748899318.1306272,28550,66.82926177978516
1748899370.6455593,28650,46.86836242675781
1748899449.4275625,28800,45.94365692138672
1748899475.7670586,28850,41.94903564453125
1748899554.9663048,29000,46.543968200683594
1748899712.7614827,29300,42.4849739074707
1748899765.0062537,29400,51.045433044433594
1748899870.09831,29600,42.004180908203125
1748902245.75892,30100,43.7247428894043
1748902322.991598,30250,47.508785247802734
1748902374.6921916,30350,38.22042465209961
1748902477.6978102,30550,47.20047378540039
1748902552.054523,30700,76.05078887939453
1748902912.438415,31400,76.62628173828125
1748903142.7494476,31850,56.12753677368164
1748903297.4073539,32150,39.87761306762695
1748903451.4353719,32450,62.96617889404297
1748905667.2826579,32550,57.02043914794922
1748905814.7745016,32850,55.717952728271484
1748905863.3564832,32950,47.8581657409668
1748905887.5290303,33000,71.38706970214844
1748905961.3074074,33150,49.85738754272461
